Time(t),Acceleration(a),Velocity(v),Height(x)
64,60,-0,031,-0,529,-0,043
64,80,0,021,-0,525,-0,148
65,00,0,074,-0,510,-0,252
65,20,0,126,-0,485,-0,351
65,40,0,176,-0,450,-0,445
65,60,0,222,-0,405,-0,530
65,80,0,265,-0,352,-0,606
66,00,0,303,-0,292,-0,670
66,20,0,335,-0,225,-0,722
66,40,0,361,-0,152,-0,760
66,60,0,380,-0,076,-0,783
66,80,0,391,0,002,-0,790
67,00,0,395,0,081,-0,782
67,20,0,391,0,159,-0,758
67,40,0,379,0,235,-0,719
67,60,0,359,0,307,-0,664
67,80,0,332,0,373,-0,596
68,00,0,298,0,433,-0,516
68,20,0,258,0,484,-0,424
68,40,0,212,0,527,-0,323
68,60,0,161,0,559,-0,214
68,80,0,107,0,580,-0,100
69,00,0,050,0,591,0,017
69,20,-0,008,0,589,0,135
69,40,-0,067,0,575,0,251
69,60,-0,125,0,550,0,364
69,80,-0,182,0,514,0,470
70,00,-0,235,0,467,0,568
70,20,-0,284,0,410,0,656
70,40,-0,328,0,345,0,731
70,60,-0,366,0,271,0,793
70,80,-0,396,0,192,0,839
71,00,-0,420,0,108,0,869
71,20,-0,435,0,021,0,882
71,40,-0,441,-0,067,0,878
71,60,-0,439,-0,155,0,855
71,80,-0,428,-0,240,0,816
72,00,-0,408,-0,322,0,760
72,20,-0,380,-0,398,0,688
72,40,-0,344,-0,467,0,601
72,60,-0,301,-0,527,0,502
72,80,-0,251,-0,577,0,392
73,00,-0,196,-0,616,0,272
73,20,-0,136,-0,643,0,146
73,40,-0,073,-0,658,0,016
73,60,-0,008,-0,660,-0,115
73,80,0,058,-0,648,-0,246
74,00,0,123,-0,623,-0,373
74,20,0,187,-0,586,-0,494
74,40,0,247,-0,537,-0,607
74,60,0,303,-0,476,-0,708
74,80,0,354,-0,405,-0,796
75,00,0,398,-0,326,-0,869
75,20,0,435,-0,239,-0,926
75,40,0,463,-0,146,-0,964
75,60,0,482,-0,050,-0,984
75,80,0,492,0,049,-0,984
76,00,0,492,0,147,-0,964
76,20,0,482,0,243,-0,925
76,40,0,463,0,336,-0,867
76,60,0,434,0,423,-0,791
76,80,0,396,0,502,-0,699
77,00,0,349,0,572,-0,592
77,20,0,296,0,631,-0,471
77,40,0,236,0,678,-0,340
77,60,0,170,0,712,-0,201
77,80,0,101,0,732,-0,057
78,00,0,029,0,738,0,090
78,20,-0,045,0,729,0,237
78,40,-0,118,0,705,0,380
78,60,-0,190,0,667,0,517
78,80,-0,259,0,615,0,646
79,00,-0,323,0,551,0,762
79,20,-0,381,0,475,0,865
79,40,-0,432,0,388,0,951
79,60,-0,475,0,293,1,019
79,80,-0,510,0,191,1,068
80,00,-0,534,0,084,1,095
80,20,-0,548,-0,025,1,101
80,40,-0,551,-0,135,1,085
80,60,-0,543,-0,244,1,047
80,80,-0,524,-0,348,0,988
81,00,-0,494,-0,447,0,908
81,20,-0,454,-0,538,0,810
81,40,-0,405,-0,619,0,694
81,60,-0,347,-0,688,0,563
81,80,-0,282,-0,745,0,420
82,00,-0,210,-0,787,0,267
82,20,-0,133,-0,813,0,107
82,40,-0,053,-0,824,-0,057
82,60,0,028,-0,818,-0,221
82,80,0,111,-0,796,-0,383
83,00,0,191,-0,758,-0,538
83,20,0,269,-0,704,-0,684
83,40,0,342,-0,636,-0,818
83,60,0,409,-0,554,-0,937
83,80,0,469,-0,460,-1,039
84,00,0,519,-0,356,-1,120
84,20,0,560,-0,244,-1,180
84,40,0,590,-0,126,-1,218
84,60,0,609,-0,005,-1,231
84,80,0,615,0,118,-1,219
85,00,0,610,0,240,-1,183
85,20,0,592,0,359,-1,123
85,40,0,562,0,471,-1,040
85,60,0,520,0,575,-0,936
85,80,0,468,0,669,-0,811
86,00,0,406,0,750,-0,670
86,20,0,335,0,817,-0,513
86,40,0,256,0,868,-0,344
86,60,0,172,0,903,-0,167
86,80,0,084,0,919,0,015
87,00,-0,007,0,918,0,199
87,20,-0,099,0,898,0,380
87,40,-0,190,0,860,0,556
87,60,-0,278,0,804,0,722
87,80,-0,361,0,732,0,876
88,00,-0,438,0,645,1,014
88,20,-0,507,0,543,1,132
88,40,-0,566,0,430,1,230
88,60,-0,615,0,307,1,303
88,80,-0,652,0,177,1,352
89,00,-0,676,0,041,1,374
89,20,-0,687,-0,096,1,368
89,40,-0,684,-0,233,1,335
89,60,-0,668,-0,366,1,275
89,80,-0,638,-0,494,1,189
90,00,-0,595,-0,613,1,079
90,20,-0,539,-0,721,0,945
90,40,-0,473,-0,815,0,792
90,60,-0,396,-0,894,0,621
90,80,-0,310,-0,956,0,436
91,00,-0,218,-1,000,0,240
91,20,-0,120,-1,024,0,038
91,40,-0,019,-1,028,-0,167
91,60,0,084,-1,011,-0,371
91,80,0,186,-0,974,-0,570
92,00,0,285,-0,917,-0,759
92,20,0,379,-0,841,-0,935
92,40,0,467,-0,748,-1,094
92,60,0,547,-0,638,-1,232
92,80,0,616,-0,515,-1,347
93,00,0,674,-0,380,-1,437
93,20,0,718,-0,237,-1,499
93,40,0,749,-0,087,-1,531
93,60,0,765,0,066,-1,533
93,80,0,767,0,220,-1,504
94,00,0,752,0,370,-1,445
94,20,0,723,0,515,-1,357
94,40,0,678,0,650,-1,240
94,60,0,620,0,774,-1,098
94,80,0,549,0,884,-0,932
95,00,0,466,0,977,-0,746
95,20,0,373,1,052,-0,543
95,40,0,271,1,106,-0,327
95,60,0,164,1,139,-0,103
95,80,0,051,1,149,0,126
96,00,-0,063,1,137,0,355
96,20,-0,177,1,101,0,579
96,40,-0,289,1,043,0,793
96,60,-0,397,0,964,0,994
96,80,-0,497,0,865,1,177
97,00,-0,588,0,747,1,338
97,20,-0,669,0,613,1,474
97,40,-0,737,0,466,1,582
97,60,-0,791,0,308,1,659
97,80,-0,830,0,142,1,704
98,00,-0,852,-0,029,1,715
98,20,-0,858,-0,200,1,692
98,40,-0,846,-0,369,1,635
98,60,-0,818,-0,533,1,545
98,80,-0,773,-0,688,1,423
99,00,-0,712,-0,830,1,271
99,20,-0,636,-0,957,1,093
99,40,-0,546,-1,066,0,890
99,60,-0,445,-1,155,0,668
99,80,-0,334,-1,222,0,431
100,00,-0,215,-1,265,0,182
100,20,-0,091,-1,283,-0,073
100,40,0,037,-1,276,-0,329
100,60,0,164,-1,243,-0,581
100,80,0,290,-1,185,-0,824
101,00,0,412,-1,103,-1,053
101,20,0,526,-0,997,-1,263
101,40,0,631,-0,871,-1,449
101,60,0,725,-0,726,-1,609
101,80,0,805,-0,565,-1,738
102,00,0,869,-0,392,-1,834
102,20,0,917,-0,208,-1,894
102,40,0,947,-0,019,-1,917
102,60,0,958,0,173,-1,901
102,80,0,951,0,363,-1,848
103,00,0,924,0,548,-1,757
103,20,0,878,0,723,-1,629
103,40,0,815,0,886,-1,468
103,60,0,734,1,033,-1,276
103,80,0,638,1,161,-1,057
104,00,0,529,1,267,-0,814
104,20,0,407,1,348,-0,553
104,40,0,276,1,403,-0,278
104,60,0,139,1,431,0,006
104,80,-0,003,1,430,0,292
105,00,-0,146,1,401,0,575
105,20,-0,288,1,344,0,850
105,40,-0,425,1,259,1,110
105,60,-0,555,1,148,1,351
105,80,-0,675,1,013,1,567
106,00,-0,783,0,856,1,753
106,20,-0,877,0,681,1,907
106,40,-0,954,0,490,2,024
106,60,-1,012,0,288,2,102
106,80,-1,051,0,077,2,139
107,00,-1,069,-0,136,2,133
107,20,-1,066,-0,350,2,084
107,40,-1,042,-0,558,1,993
107,60,-0,997,-0,757,1,862
107,80,-0,931,-0,944,1,692
108,00,-0,846,-1,113,1,486
108,20,-0,743,-1,261,1,249
108,40,-0,624,-1,386,0,984
108,60,-0,492,-1,485,0,697
108,80,-0,348,-1,554,0,393
109,00,-0,196,-1,594,0,078
109,20,-0,039,-1,601,-0,241
109,40,0,121,-1,577,-0,559
109,60,0,280,-1,521,-0,869
109,80,0,435,-1,434,-1,165
110,00,0,582,-1,318,-1,440
110,20,0,720,-1,174,-1,689
110,40,0,845,-1,005,-1,907
110,60,0,953,-0,814,-2,089
110,80,1,044,-0,605,-2,231
111,00,1,115,-0,382,-2,330
111,20,1,165,-0,149,-2,383
111,40,1,191,0,089,-2,389
111,60,1,194,0,328,-2,347
111,80,1,174,0,563,-2,258
112,00,1,129,0,788,-2,123
112,20,1,062,1,001,-1,944
112,40,0,972,1,195,-1,725
112,60,0,862,1,368,-1,468
112,80,0,734,1,514,-1,180
113,00,0,590,1,632,-0,865
113,20,0,433,1,719,-0,530
113,40,0,265,1,772,-0,181
113,60,0,091,1,790,0,175
113,80,-0,087,1,773,0,531
114,00,-0,266,1,719,0,880
114,20,-0,440,1,631,1,216
114,40,-0,608,1,510,1,530
114,60,-0,765,1,357,1,816
114,80,-0,908,1,175,2,070
115,00,-1,035,0,968,2,284
115,20,-1,142,0,740,2,455
115,40,-1,227,0,494,2,578
115,60,-1,289,0,237,2,651
115,80,-1,326,-0,028,2,672
116,00,-1,336,-0,296,2,640
116,20,-1,320,-0,560,2,554
116,40,-1,277,-0,815,2,417
116,60,-1,208,-1,057,2,229
116,80,-1,115,-1,280,1,996
117,00,-0,998,-1,479,1,720
117,20,-0,860,-1,651,1,407
117,40,-0,703,-1,792,1,063
117,60,-0,531,-1,898,0,694
117,80,-0,347,-1,968,0,307
118,00,-0,153,-1,998,-0,090
118,20,0,045,-1,989,-0,488
118,40,0,244,-1,940,-0,881
118,60,0,441,-1,852,-1,261
118,80,0,630,-1,726,-1,618
119,00,0,809,-1,564,-1,948
119,20,0,974,-1,370,-2,241
119,40,1,120,-1,146,-2,492
119,60,1,246,-0,896,-2,697
119,80,1,348,-0,627,-2,849
120,00,1,424,-0,342,-2,946
120,20,1,473,-0,047,-2,985
120,40,1,492,0,251,-2,964
120,60,1,482,0,548,-2,884
120,80,1,442,0,836,-2,746
121,00,1,373,1,111,-2,551
121,20,1,276,1,366,-2,304
121,40,1,152,1,596,-2,007
121,60,1,004,1,797,-1,668
121,80,0,834,1,964,-1,292
122,00,0,646,2,093,-0,886
122,20,0,443,2,182,-0,459
122,40,0,229,2,228,-0,018
122,60,0,009,2,229,0,428
122,80,-0,214,2,187,0,869
123,00,-0,435,2,100,1,298
123,20,-0,649,1,970,1,705
123,40,-0,852,1,799,2,082
123,60,-1,041,1,591,2,421
123,80,-1,210,1,349,2,715
124,00,-1,357,1,078,2,958
124,20,-1,479,0,782,3,143
124,40,-1,572,0,467,3,268
124,60,-1,634,0,141,3,329
124,80,-1,665,-0,192,3,324
125,00,-1,662,-0,525,3,252
125,20,-1,626,-0,850,3,115
125,40,-1,557,-1,161,2,914
125,60,-1,457,-1,453,2,652
125,80,-1,326,-1,718,2,335
126,00,-1,168,-1,952,1,968
126,20,-0,984,-2,148,1,558
126,40,-0,779,-2,304,1,113
126,60,-0,557,-2,416,0,641
126,80,-0,321,-2,480,0,152
127,00,-0,076,-2,495,-0,346
127,20,0,173,-2,460,-0,841
127,40,0,421,-2,376,-1,325
127,60,0,663,-2,244,-1,787
127,80,0,893,-2,065,-2,218
128,00,1,109,-1,843,-2,609
128,20,1,304,-1,582,-2,951
128,40,1,476,-1,287,-3,238
128,60,1,619,-0,963,-3,463
128,80,1,732,-0,617,-3,621
129,00,1,811,-0,255,-3,708
129,20,1,854,0,116,-3,722
129,40,1,861,0,488,-3,662
129,60,1,831,0,854,-3,528
129,80,1,764,1,207,-3,321
130,00,1,661,1,539,-3,047
130,20,1,523,1,844,-2,708
130,40,1,354,2,115,-2,313
130,60,1,156,2,346,-1,866
130,80,0,933,2,533,-1,379
131,00,0,689,2,671,-0,858
131,20,0,429,2,756,-0,316
131,40,0,158,2,788,0,239
131,60,-0,119,2,764,0,794
131,80,-0,397,2,685,1,339
132,00,-0,669,2,551,1,862
132,20,-0,931,2,365,2,354
132,40,-1,177,2,129,2,803
132,60,-1,402,1,849,3,201
132,80,-1,601,1,529,3,539
133,00,-1,769,1,175,3,809
133,20,-1,905,0,794,4,006
133,40,-2,003,0,393,4,125
133,60,-2,062,-0,019,4,162
133,80,-2,081,-0,435,4,117
134,00,-2,058,-0,847,3,988
134,20,-1,994,-1,246,3,779
134,40,-1,890,-1,624,3,492
134,60,-1,746,-1,973,3,132
134,80,-1,566,-2,286,2,707
135,00,-1,353,-2,557,2,222
135,20,-1,111,-2,779,1,689
135,40,-0,844,-2,948,1,116
135,60,-0,558,-3,060,0,515
135,80,-0,258,-3,111,-0,102
136,00,0,051,-3,101,-0,723
136,20,0,362,-3,029,-1,336
136,40,0,668,-2,895,-1,929
136,60,0,964,-2,702,-2,488
136,80,1,244,-2,453,-3,004
137,00,1,502,-2,153,-3,464
137,20,1,732,-1,807,-3,860
137,40,1,930,-1,420,-4,183
137,60,2,092,-1,002,-4,425
137,80,2,213,-0,560,-4,582
138,00,2,291,-0,101,-4,648
138,20,2,324,0,363,-4,621
138,40,2,311,0,825,-4,503
138,60,2,251,1,276,-4,292
138,80,2,146,1,705,-3,994
139,00,1,997,2,104,-3,613
139,20,1,807,2,466,-3,156
139,40,1,578,2,781,-2,632
139,60,1,316,3,045,-2,049
139,80,1,025,3,249,-1,420
140,00,0,710,3,391,-0,756
140,20,0,378,3,467,-0,070
